agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Health & Human Services,680000,,H,Bergman,,,Stabenow,,,
Department of Health & Human Services,850000,,H,Meijer,,,Stabenow,,,
Department of Education,1500000,,H,Upton,,,Stabenow,,,
Department of Housing and Urban Development,3000000,,H/S,Walberg,,,Stabenow,,,
Department of Housing and Urban Development,650000,,H/S,Kildee,,,Stabenow,,,
Environmental Protection Agency,800000,,H/S,Lawrence,,,Stabenow,,,
DOJ,382000,,S,,,,Stabenow,,,
DOJ,76000,,S,,,,Stabenow,,,
Department of Housing and Urban Development,1000000,,S,,,,Stabenow,,,
Department of Housing and Urban Development,1000000,,S,,,,Stabenow,,,
Department of Housing and Urban Development,2100000,,S,,,,Stabenow,,,
Rural Development,76000,,S,,,,Stabenow,,,
DOJ,1000000,,S,,,,Stabenow,,,
DOJ,482000,,S,,,,Stabenow,,,
DOC,400000,,S,,,,Stabenow,,,
Department of Energy,100000,,S,,,,Stabenow,,,
Army Corps of Engineers (Civil),1000000,,S,,,,Stabenow,,,
Department of Energy,2000000,,S,,,,Stabenow,,,
Department of Health & Human Services,1000000,,S,,,,Stabenow,,,
Department of Health & Human Services,700000,,S,,,,Stabenow,,,
Department of Health & Human Services,3366000,,S,,,,Stabenow,,,
Department of Health & Human Services,4475000,,S,,,,Stabenow,,,
Department of Health & Human Services,811000,,S,,,,Stabenow,,,
Department of Health & Human Services,1800000,,S,,,,Stabenow,,,
Department of Education,2000000,,S,,,,Stabenow,,,
Department of Education,2618000,,S,,,,Stabenow,,,
Department of Transportation,30000000,,S,,,,Thune,,,
Army NG,2700000,,S,,,,Tillis,,,
Navy,13300000,,S,,,,Tillis,,,
Department of Health & Human Services,325000,,H,Trone,,,Van Hollen,,,
Department of Health & Human Services,525000,,H,Ruppersberger,,,Van Hollen,,,
Department of Health & Human Services,300000,,H,Raskin,,,Van Hollen,,,
DOJ,2000000,,H/S,Ruppersberger, Sarbanes,,Van Hollen,,,
DOJ,600000,,H/S,Ruppersberger, Sarbanes,,Van Hollen,,,
Department of Housing and Urban Development,500000,,H/S,Mfume,,,Van Hollen,,,
Department of Housing and Urban Development,2000000,,H/S,Mfume,,,Van Hollen,,,
Department of Housing and Urban Development,435000,,H/S,Brown,,,Van Hollen,,,
Environmental Protection Agency,200000,,H/S,Brown,,,Van Hollen,,,
Environmental Protection Agency,2000000,,H/S,Hoyer,,,Van Hollen,,,
Department of Labor,1000000,,H/S,Sarbanes,,,Van Hollen,,,
Department of Health & Human Services,475000,,H/S,Mfume,,,Van Hollen,,,
DOJ,610000,,S,,,,Van Hollen,,,
DOJ,150000,,S,,,,Van Hollen,,,
DOJ,125000,,S,,,,Van Hollen,,,
DOJ,100000,,S,,,,Van Hollen,,,
NASA,1000000,,S,,,,Van Hollen,,,
DOJ,200000,,S,,,,Van Hollen,,,
DOJ,367000,,S,,,,Van Hollen,,,
FEMA,908000,,S,,,,Van Hollen,,,
Department of Transportation,2000000,,S,,,,Van Hollen,,,
Department of Transportation,1000000,,S,,,,Van Hollen,,,
Department of Housing and Urban Development,500000,,S,,,,Van Hollen,,,
Department of Housing and Urban Development,500000,,S,,,,Van Hollen,,,
Department of Housing and Urban Development,1000000,,S,,,,Van Hollen,,,
Department of Housing and Urban Development,2000000,,S,,,,Van Hollen,,,
DOC,332000,,S,,,,Van Hollen,,,
DOJ,400000,,S,,,,Van Hollen,,,
DOJ,116000,,S,,,,Van Hollen,,,
Army Corps of Engineers (Civil),50000,,S,,,,Van Hollen,,,
National Park Service,125000,,S,,,,Van Hollen,,,
Small Business Administration,350000,,S,,,,Van Hollen,,,
National Archives and Records Administration,500000,,S,,,,Van Hollen,,,
Forest Service,500000,,S,,,,Van Hollen,,,
Department of Transportation,500000,,S,,,,Van Hollen,,,
Department of Transportation,500000,,S,,,,Van Hollen,,,
Department of Transportation,535000,,S,,,,Van Hollen,,,
National Archives and Records Administration,650000,,S,,,,Van Hollen,,,
Small Business Administration,675000,,S,,,,Van Hollen,,,
Environmental Protection Agency,870000,,S,,,,Van Hollen,,,
National Park Service,900000,,S,,,,Van Hollen,,,
Department of Transportation,975000,,S,,,,Van Hollen,,,
Small Business Administration,1000000,,S,,,,Van Hollen,,,
Environmental Protection Agency,1000000,,S,,,,Van Hollen,,,
Environmental Protection Agency,1000000,,S,,,,Van Hollen,,,
Department of Transportation,1000000,,S,,,,Van Hollen,,,
Department of Transportation,1000000,,S,,,,Van Hollen,,,
Department of Transportation,1000000,,S,,,,Van Hollen,,,
Small Business Administration,1700000,,S,,,,Van Hollen,,,
Small Business Administration,2450000,,S,,,,Van Hollen,,,
Department of Transportation,2500000,,S,,,,Van Hollen,,,
Department of Labor,800000,,S,,,,Van Hollen,,,
Department of Labor,500000,,S,,,,Van Hollen,,,
Department of Labor,300000,,S,,,,Van Hollen,,,
Department of Health & Human Services,1250000,,S,,,,Van Hollen,,,
Department of Health & Human Services,500000,,S,,,,Van Hollen,,,
Department of Health & Human Services,970000,,S,,,,Van Hollen,,,
Department of Education,250000,,S,,,,Van Hollen,,,
Department of Education,320000,,S,,,,Van Hollen,,,
Department of Education,600000,,S,,,,Van Hollen,,,
Department of Health & Human Services,600000,,H,Griffith,,,Warner,,,
Department of Housing and Urban Development,1500000,,H/S,Connolly,,,Warner,,,
Department of Housing and Urban Development,2000000,,H/S,Griffith,,,Warner,,,
Rural Development,38000,,S,,,,Warner,,,
Small Business Administration,450000,,S,,,,Warner,,,
Army NG,5805000,,S,,,,Warner,,,
Department of Labor,1000000,,S,,,,Warner,,,
Department of Health & Human Services,25000,,S,,,,Warner,,,
Department of Health & Human Services,1250000,,S,,,,Warner,,,
Department of Education,1830000,,S,,,,Warner,,,
Department of Health & Human Services,191000,GA,H/S,Williams ,,,Warnock,,,
DOJ,2988000,,S,,,,Warnock,,,
Department of Transportation,5000000,,S,,,,Warnock,,,
Department of Transportation,5000000,,S,,,,Warnock,,,
Department of Housing and Urban Development,1150000,,S,,,,Warnock,,,
Rural Development,250000,,S,,,,Warnock,,,
Rural Development,1400000,,S,,,,Warnock,,,
DOJ,1400000,,S,,,,Warnock,,,
DOJ,12000,,S,,,,Warnock,,,
Small Business Administration,293000,,S,,,,Warnock,,,
General Services Administration,500000,,S,,,,Warnock,,,
National Archives and Records Administration,1066000,,S,,,,Warnock,,,
Forest Service,2625000,,S,,,,Warnock,,,
Department of Transportation,3000000,,S,,,,Warnock,,,
Environmental Protection Agency,3242000,,S,,,,Warnock,,,
Army,3670000,,S,,,,Warnock,,,
Environmental Protection Agency,3888000,,S,,,,Warnock,,,
Department of Health & Human Services,61000,,S,,,,Warnock,,,
Department of Health & Human Services,5000000,,S,,,,Warnock,,,
Department of Health & Human Services,2000000,,S,,,,Warnock,,,
Department of Education,458000,,S,,,,Warnock,,,
Department of Education,385000,,S,,,,Warnock,,,
Department of Education,1225000,,S,,,,Warnock,,,
Department of Education,2100000,,S,,,,Warnock,,,
Department of Education,3000000,,S,,,,Warnock,,,
Department of Education,1415000,,S,,,,Warnock,,,
Department of Education,1096000,,S,,,,Warnock,,,
Department of Housing and Urban Development,700000,,H,Cicilline,,,Whitehouse,,,
Department of Transportation,960000,,H,Cicilline,,,Whitehouse,,,
DOC,1500000,,S,,,,Whitehouse,,,
FEMA,400000,,S,,,,Whitehouse,,,
FEMA,240000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,190000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,500000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,581000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,850000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,1000000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,1000000,,S,,,,Whitehouse,,,
Rural Development,157000,,S,,,,Whitehouse,,,
Rural Development,250000,,S,,,,Whitehouse,,,
Natural Resources Conservation Service,84000,,S,,,,Whitehouse,,,
Department of Transportation,1000000,,S,,,,Whitehouse,,,
Department of Labor,300000,,S,,,,Whitehouse,,,
Department of Health & Human Services,500000,,S,,,,Whitehouse,,,
Department of Health & Human Services,450000,,S,,,,Whitehouse,,,
Department of Health & Human Services,101000,,S,,,,Whitehouse,,,
Department of Health & Human Services,423000,,S,,,,Whitehouse,,,
Department of Health & Human Services,100000,,S,,,,Whitehouse,,,
Department of Education,195000,,S,,,,Whitehouse,,,
Department of Education,800000,,S,,,,Whitehouse,,,
Department of Education,150000,,S,,,,Whitehouse,,,
Department of Education,375000,,S,,,,Whitehouse,,,
Department of Education,151000,,S,,,,Whitehouse,,,
Department of Education,750000,,S,,,,Whitehouse,,,
Department of Education,350000,,S,,,,Whitehouse,,,
Department of Housing and Urban Development,4300000,,H/S,Palazzo,,,Wicker,,,
DOC,2000000,,S,,,,Wicker,,,
DOC,2000000,,S,,,,Wicker,,,
Department of Housing and Urban Development,500000,,S,,,,Wicker,,,
Department of Housing and Urban Development,500000,,S,,,,Wicker,,,
Department of Housing and Urban Development,1000000,,S,,,,Wicker,,,
Department of Transportation,150000,,S,,,,Wicker,,,
Department of Transportation,300000,,S,,,,Wicker,,,
Department of Transportation,640000,,S,,,,Wicker,,,
Department of Transportation,2163000,,S,,,,Wicker,,,
Department of Transportation,5000000,,S,,,,Wicker,,,
Department of Health & Human Services,7565000,,S,,,,Wicker,,,
Department of Health & Human Services,216000,,S,,,,Wicker,,,
Department of Education,250000,,S,,,,Wicker,,,
Department of Education,250000,,S,,,,Wicker,,,
FEMA,2000000,,S,,,,Wyden,,,
Department of Housing and Urban Development,3000000,AL,H,Rogers ,,,,,,
DOJ,340000,AL,H,Rogers ,,,,,,
Army,25010000,AL,H,Rogers ,,,,,,
FEMA,1500000,CA,H,Lee ,,,,,,
Department of Transportation,4485000,CA,H,Harder ,,,,,,
Department of Transportation,1717836,CA,H,Levin ,,,,,,
Department of Transportation,3000000,CA,H,Garcia ,,,,,,
Department of Housing and Urban Development,500000,CA,H,Harder ,,,,,,
Department of Housing and Urban Development,3000000,CA,H,Harder ,,,,,,
Department of Housing and Urban Development,500000,CA,H,Harder ,,,,,,
Department of Housing and Urban Development,800000,CA,H,Torres ,,,,,,
Department of Housing and Urban Development,2000000,CA,H,Torres ,,,,,,
Department of Housing and Urban Development,3000000,CA,H,Torres ,,,,,,
Department of Housing and Urban Development,2000000,CA,H,Lee ,,,,,,
Department of Housing and Urban Development,2000000,CA,H,Kim ,,,,,,
Department of Housing and Urban Development,1000000,CA,H,Lee ,,,,,,
Department of Housing and Urban Development,500000,CA,H,Jacobs ,,,,,,
Department of Housing and Urban Development,1000000,CA,H,Jacobs ,,,,,,
Department of Housing and Urban Development,500000,CA,H,Jacobs ,,,,,,
DOJ,255000,CA,H,Harder ,,,,,,
DOJ,587000,CA,H,Levin ,,,,,,
DOJ,3404000,CA,H,Torres ,,,,,,
DOJ,1000000,CA,H,Garcia ,,,,,,
DOJ,500000,CA,H,Lee ,,,,,,
Department of the Interior,500000,CA,H,Harder ,,,,,,
Army Corps of Engineers (Civil),9306000,CA,H,Levin ,,,,,,
Environmental Protection Agency,320000,CA,H,Thompson ,,,,,,
Department of Transportation,450000,CA,H,Thompson ,,,,,,
Small Business Administration,1000000,CA,H,Jacobs ,,,,,,
Small Business Administration,1000000,CA,H,Torres ,,,,,,
Environmental Protection Agency,1840000,CA,H,Thompson ,,,,,,
Department of Transportation,1870000,CA,H,Levin ,,,,,,
Environmental Protection Agency,2000000,CA,H,Torres ,,,,,,
Department of Transportation,3000000,CA,H,Kim ,,,,,,
Department of Transportation,5000000,CA,H,Levin ,,,,,,
Department of Health & Human Services,550000,CA,H,Garcia ,,,,,,
Department of Health & Human Services,1200000,CA,H,Garcia ,,,,,,
Department of Health & Human Services,1250000,CA,H,Lee ,,,,,,
Department of Health & Human Services,2000000,CA,H,Kim ,,,,,,
Department of Health & Human Services,610000,CA,H,Garcia ,,,,,,
Department of Health & Human Services,350000,CA,H,Lee ,,,,,,
Department of Health & Human Services,1000000,CA,H,Thompson ,,,,,,
Department of Health & Human Services,775000,CA,H,Torres ,,,,,,
Department of Health & Human Services,2000000,CA,H,Harder ,,,,,,
Department of Health & Human Services,1000000,CA,H,Thompson ,,,,,,
Department of Health & Human Services,380000,CA,H,Torres ,,,,,,
Department of Health & Human Services,1810000,CA,H,Harder ,,,,,,
Department of Education,125000,CA,H,Torres ,,,,,,
Department of Education,500000,CA,H,Lee ,,,,,,
Department of Education,150000,CA,H,Levin ,,,,,,
Department of Education,1000000,CA,H,Garcia ,,,,,,
Department of Health & Human Services,900000,CA,H,Thompson, DeSaulnier,,,,,
Department of Housing and Urban Development,900000,CT,H,Larson ,,,,,,
Department of Housing and Urban Development,900000,CT,H,Larson ,,,,,,
Department of Housing and Urban Development,700000,CT,H,Larson ,,,,,,
Department of Housing and Urban Development,250000,CT,H,Larson ,,,,,,
Department of Housing and Urban Development,600000,CT,H,Larson ,,,,,,
Small Business Administration,900000,CT,H,Larson ,,,,,,
Department of Health & Human Services,630000,CT,H,Larson ,,,,,,
DOJ,1200000,FL,H,Murphy, Demings,,,,,
DOJ,382000,FL,H,Castor ,,,,,,
FEMA,4669171,FL,H,Lawson ,,,,,,
Department of Housing and Urban Development,687659,FL,H,Wilson ,,,,,,
Department of Housing and Urban Development,2200000,FL,H,Wilson ,,,,,,
Department of Housing and Urban Development,258300,FL,H,Murphy ,,,,,,
Department of Housing and Urban Development,2000000,FL,H,Lawson ,,,,,,
Department of Housing and Urban Development,2000000,FL,H,Lawson ,,,,,,
Department of Housing and Urban Development,2125804,FL,H,Castor ,,,,,,
Department of Housing and Urban Development,1000000,FL,H,Castor ,,,,,,
Department of Housing and Urban Development,2000000,FL,H,Lawson ,,,,,,
Department of Housing and Urban Development,1000000,FL,H,Lawson ,,,,,,
Department of Housing and Urban Development,520000,FL,H,Castor ,,,,,,
Department of Housing and Urban Development,2400000,FL,H,Wilson ,,,,,,
Rural Development,1125000,FL,H,Lawson ,,,,,,
DOJ,1702000,FL,H,Wasserman Schultz, Wilson ,,,,,
DOJ,109000,FL,H,Wilson ,,,,,,
Environmental Protection Agency,400000,FL,H,Wilson ,,,,,,
Environmental Protection Agency,688000,FL,H,Murphy ,,,,,,
Environmental Protection Agency,800000,FL,H,Castor ,,,,,,
Environmental Protection Agency,900000,FL,H,Murphy ,,,,,,
Environmental Protection Agency,1141038,FL,H,Wilson ,,,,,,
Environmental Protection Agency,1600000,FL,H,Lawson ,,,,,,
Department of Labor,250000,FL,H,Wilson ,,,,,,
Department of Labor,300000,FL,H,Castor ,,,,,,
Department of Health & Human Services,250000,FL,H,Murphy ,,,,,,
Department of Health & Human Services,225000,FL,H,Wilson ,,,,,,
Department of Health & Human Services,300000,FL,H,Murphy ,,,,,,
Department of Health & Human Services,2000000,FL,H,Castor ,,,,,,
Department of Health & Human Services,400000,FL,H,Wilson ,,,,,,
Department of Health & Human Services,2000000,FL,H,Castor ,,,,,,
Department of Health & Human Services,400000,FL,H,Murphy ,,,,,,
Department of Health & Human Services,500000,FL,H,Lawson ,,,,,,
Department of Education,500000,FL,H,Murphy ,,,,,,
Department of Education,1000000,FL,H,Castor ,,,,,,
Department of Education,475000,FL,H,Murphy ,,,,,,
DOJ,225000,GA,H,Bishop ,,,,,,
FEMA,2925000,GA,H,Carter ,,,,,,
Department of Housing and Urban Development,2200000,GA,H,Bishop ,,,,,,
Department of Housing and Urban Development,2000000,GA,H,Bishop ,,,,,,
Department of Housing and Urban Development,1000000,GA,H,Bishop ,,,,,,
Department of Housing and Urban Development,500000,GA,H,Bishop ,,,,,,
Department of Housing and Urban Development,3000000,GA,H,Bishop ,,,,,,
Department of Housing and Urban Development,209000,GA,H,Johnson ,,,,,,
Department of Housing and Urban Development,1000000,GA,H,Johnson ,,,,,,
Department of Housing and Urban Development,1160000,GA,H,Williams ,,,,,,
Department of Housing and Urban Development,200000,GA,H,Williams ,,,,,,
Department of Housing and Urban Development,2200000,GA,H,Williams ,,,,,,
Department of Housing and Urban Development,750000,GA,H,Williams ,,,,,,
Rural Development,746250,GA,H,Bishop ,,,,,,
Small Business Administration,150000,GA,H,Williams ,,,,,,
Department of Transportation,600000,GA,H,Johnson ,,,,,,
Department of Transportation,800000,GA,H,Johnson ,,,,,,
Department of Transportation,800000,GA,H,Johnson ,,,,,,
Department of Transportation,900000,GA,H,Johnson ,,,,,,
Environmental Protection Agency,1600000,GA,H,Williams ,,,,,,
Department of Health & Human Services,1000000,GA,H,Bishop ,,,,,,
Department of Health & Human Services,300000,GA,H,Johnson ,,,,,,
Department of Education,325000,GA,H,Johnson ,,,,,,
Department of Education,1500000,GA,H,Bishop ,,,,,,
Department of Education,325000,GA,H,Williams ,,,,,,
Department of Education,900000,GA,H,Williams ,,,,,,
Army,1500000,GA,H,Carter ,,,,,,
Department of Housing and Urban Development,1500000,IL,H,Kelly ,,,,,,
Department of Housing and Urban Development,400000,IL,H,Kelly ,,,,,,
Rural Development,3000000,IL,H,Kelly ,,,,,,
DOJ,20000,IL,H,Kelly ,,,,,,
Small Business Administration,200000,IL,H,Kelly ,,,,,,
Department of Health & Human Services,90000,IL,H,Kelly ,,,,,,
Department of Health & Human Services,625000,IL,H,Kelly ,,,,,,
Department of Education,500000,IL,H,Kelly ,,,,,,
Department of Education,175000,IL,H,Kelly ,,,,,,
FEMA,4837500,KS,H,Davids ,,,,,,
Department of Housing and Urban Development,1500000,KS,H,Davids ,,,,,,
Department of Housing and Urban Development,400000,KS,H,Davids ,,,,,,
Department of Housing and Urban Development,1500000,KS,H,Davids ,,,,,,
Army Corps of Engineers (Civil),500000,KS,H,Davids ,,,,,,
Army Corps of Engineers (Civil),4000000,KS,H,Davids ,,,,,,
