agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Environmental Protection Agency,800000,,H,Lawrence,,,Stabenow,,,,D
Department of Transportation,4797600,,H,Stevens,,,Stabenow,,,,D
Department of Health & Human Services,680000,,H,Bergman,,,Stabenow,,,,R
Department of Health & Human Services,850000,,H,Meijer,,,Stabenow,,,,R
Department of Education,1500000,,H,Upton,,,Stabenow,,,,R
Department of Housing and Urban Development,3000000,,H/S,Walberg,,,Stabenow,,,,R
Department of Housing and Urban Development,650000,,H/S,Kildee,,,Stabenow,,,,D
Environmental Protection Agency,800000,,H/S,Lawrence,,,Stabenow,,,,D
DOJ,382000,,S,,,,Stabenow,,,,D
DOJ,76000,,S,,,,Stabenow,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Stabenow,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Stabenow,,,,D
Department of Housing and Urban Development,2100000,,S,,,,Stabenow,,,,D
Rural Development,76000,,S,,,,Stabenow,,,,D
DOJ,1000000,,S,,,,Stabenow,,,,D
DOJ,482000,,S,,,,Stabenow,,,,D
DOC,400000,,S,,,,Stabenow,,,,D
Department of Energy,100000,,S,,,,Stabenow,,,,D
Army Corps of Engineers (Civil),1000000,,S,,,,Stabenow,,,,D
Department of Energy,2000000,,S,,,,Stabenow,,,,D
Department of Health & Human Services,1000000,,S,,,,Stabenow,,,,D
Department of Health & Human Services,700000,,S,,,,Stabenow,,,,D
Department of Health & Human Services,3366000,,S,,,,Stabenow,,,,D
Department of Health & Human Services,4475000,,S,,,,Stabenow,,,,D
Department of Health & Human Services,811000,,S,,,,Stabenow,,,,D
Department of Health & Human Services,1800000,,S,,,,Stabenow,,,,D
Department of Education,2000000,,S,,,,Stabenow,,,,D
Department of Education,2618000,,S,,,,Stabenow,,,,D
Department of Transportation,30000000,,S,,,,Thune,,,,R
Army NG,2700000,,S,,,,Tillis,,,,R
Navy,13300000,,S,,,,Tillis,,,,R
Department of Health & Human Services,325000,,H,Trone,,,Van Hollen,,,,D
Department of Health & Human Services,525000,,H,Ruppersberger,,,Van Hollen,,,,D
Department of Health & Human Services,300000,,H,Raskin,,,Van Hollen,,,,D
DOJ,2000000,,H/S,Ruppersberger,Sarbanes,,Van Hollen,,,,D
DOJ,600000,,H/S,Ruppersberger,Sarbanes,,Van Hollen,,,,D
Department of Housing and Urban Development,500000,,H/S,Mfume,,,Van Hollen,,,,D
Department of Housing and Urban Development,2000000,,H/S,Mfume,,,Van Hollen,,,,D
Department of Housing and Urban Development,435000,,H/S,Brown,,,Van Hollen,,,,D
Environmental Protection Agency,200000,,H/S,Brown,,,Van Hollen,,,,D
Environmental Protection Agency,2000000,,H/S,Hoyer,,,Van Hollen,,,,D
Department of Labor,1000000,,H/S,Sarbanes,,,Van Hollen,,,,D
Department of Health & Human Services,475000,,H/S,Mfume,,,Van Hollen,,,,D
DOJ,610000,,S,,,,Van Hollen,,,,D
DOJ,150000,,S,,,,Van Hollen,,,,D
DOJ,125000,,S,,,,Van Hollen,,,,D
DOJ,100000,,S,,,,Van Hollen,,,,D
NASA,1000000,,S,,,,Van Hollen,,,,D
DOJ,200000,,S,,,,Van Hollen,,,,D
DOJ,367000,,S,,,,Van Hollen,,,,D
FEMA,908000,,S,,,,Van Hollen,,,,D
Department of Transportation,2000000,,S,,,,Van Hollen,,,,D
Department of Transportation,1000000,,S,,,,Van Hollen,,,,D
Department of Housing and Urban Development,500000,,S,,,,Van Hollen,,,,D
Department of Housing and Urban Development,500000,,S,,,,Van Hollen,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Van Hollen,,,,D
Department of Housing and Urban Development,2000000,,S,,,,Van Hollen,,,,D
DOC,332000,,S,,,,Van Hollen,,,,D
DOJ,400000,,S,,,,Van Hollen,,,,D
DOJ,116000,,S,,,,Van Hollen,,,,D
Army Corps of Engineers (Civil),50000,,S,,,,Van Hollen,,,,D
National Park Service,125000,,S,,,,Van Hollen,,,,D
Small Business Administration,350000,,S,,,,Van Hollen,,,,D
National Archives and Records Administration,500000,,S,,,,Van Hollen,,,,D
Forest Service,500000,,S,,,,Van Hollen,,,,D
Department of Transportation,500000,,S,,,,Van Hollen,,,,D
Department of Transportation,500000,,S,,,,Van Hollen,,,,D
Department of Transportation,535000,,S,,,,Van Hollen,,,,D
National Archives and Records Administration,650000,,S,,,,Van Hollen,,,,D
Small Business Administration,675000,,S,,,,Van Hollen,,,,D
Environmental Protection Agency,870000,,S,,,,Van Hollen,,,,D
National Park Service,900000,,S,,,,Van Hollen,,,,D
Department of Transportation,975000,,S,,,,Van Hollen,,,,D
Small Business Administration,1000000,,S,,,,Van Hollen,,,,D
Environmental Protection Agency,1000000,,S,,,,Van Hollen,,,,D
Environmental Protection Agency,1000000,,S,,,,Van Hollen,,,,D
Department of Transportation,1000000,,S,,,,Van Hollen,,,,D
Department of Transportation,1000000,,S,,,,Van Hollen,,,,D
Department of Transportation,1000000,,S,,,,Van Hollen,,,,D
Small Business Administration,1700000,,S,,,,Van Hollen,,,,D
Small Business Administration,2450000,,S,,,,Van Hollen,,,,D
Department of Transportation,2500000,,S,,,,Van Hollen,,,,D
Department of Labor,800000,,S,,,,Van Hollen,,,,D
Department of Labor,500000,,S,,,,Van Hollen,,,,D
Department of Labor,300000,,S,,,,Van Hollen,,,,D
Department of Health & Human Services,1250000,,S,,,,Van Hollen,,,,D
Department of Health & Human Services,500000,,S,,,,Van Hollen,,,,D
Department of Health & Human Services,970000,,S,,,,Van Hollen,,,,D
Department of Education,250000,,S,,,,Van Hollen,,,,D
Department of Education,320000,,S,,,,Van Hollen,,,,D
Department of Education,600000,,S,,,,Van Hollen,,,,D
Department of Health & Human Services,600000,,H,Griffith,,,Warner,,,,R
Department of Housing and Urban Development,1500000,,H/S,Connolly,,,Warner,,,,D
Department of Housing and Urban Development,2000000,,H/S,Griffith,,,Warner,,,,R
Rural Development,38000,,S,,,,Warner,,,,D
Small Business Administration,450000,,S,,,,Warner,,,,D
Army NG,5805000,,S,,,,Warner,,,,D
Department of Labor,1000000,,S,,,,Warner,,,,D
Department of Health & Human Services,25000,,S,,,,Warner,,,,D
Department of Health & Human Services,1250000,,S,,,,Warner,,,,D
Department of Education,1830000,,S,,,,Warner,,,,D
Department of Health & Human Services,191000,GA,H/S,Williams,,,Warnock,,,,D
DOJ,2988000,,S,,,,Warnock,,,,D
Department of Transportation,5000000,,S,,,,Warnock,,,,D
Department of Transportation,5000000,,S,,,,Warnock,,,,D
Department of Housing and Urban Development,1150000,,S,,,,Warnock,,,,D
Rural Development,250000,,S,,,,Warnock,,,,D
Rural Development,1400000,,S,,,,Warnock,,,,D
DOJ,1400000,,S,,,,Warnock,,,,D
DOJ,12000,,S,,,,Warnock,,,,D
Small Business Administration,293000,,S,,,,Warnock,,,,D
General Services Administration,500000,,S,,,,Warnock,,,,D
National Archives and Records Administration,1066000,,S,,,,Warnock,,,,D
Forest Service,2625000,,S,,,,Warnock,,,,D
Department of Transportation,3000000,,S,,,,Warnock,,,,D
Environmental Protection Agency,3242000,,S,,,,Warnock,,,,D
Army,3670000,,S,,,,Warnock,,,,D
Environmental Protection Agency,3888000,,S,,,,Warnock,,,,D
Department of Health & Human Services,61000,,S,,,,Warnock,,,,D
Department of Health & Human Services,5000000,,S,,,,Warnock,,,,D
Department of Health & Human Services,2000000,,S,,,,Warnock,,,,D
Department of Education,458000,,S,,,,Warnock,,,,D
Department of Education,385000,,S,,,,Warnock,,,,D
Department of Education,1225000,,S,,,,Warnock,,,,D
Department of Education,2100000,,S,,,,Warnock,,,,D
Department of Education,3000000,,S,,,,Warnock,,,,D
Department of Education,1415000,,S,,,,Warnock,,,,D
Department of Education,1096000,,S,,,,Warnock,,,,D
Department of Housing and Urban Development,700000,,H,Cicilline,,,Whitehouse,,,,D
Department of Transportation,960000,,H,Cicilline,,,Whitehouse,,,,D
DOC,1500000,,S,,,,Whitehouse,,,,D
FEMA,400000,,S,,,,Whitehouse,,,,D
FEMA,240000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,190000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,500000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,581000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,850000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Whitehouse,,,,D
Rural Development,157000,,S,,,,Whitehouse,,,,D
Rural Development,250000,,S,,,,Whitehouse,,,,D
Natural Resources Conservation Service,84000,,S,,,,Whitehouse,,,,D
Department of Transportation,1000000,,S,,,,Whitehouse,,,,D
Department of Labor,300000,,S,,,,Whitehouse,,,,D
Department of Health & Human Services,500000,,S,,,,Whitehouse,,,,D
Department of Health & Human Services,450000,,S,,,,Whitehouse,,,,D
Department of Health & Human Services,101000,,S,,,,Whitehouse,,,,D
Department of Health & Human Services,423000,,S,,,,Whitehouse,,,,D
Department of Health & Human Services,100000,,S,,,,Whitehouse,,,,D
Department of Education,195000,,S,,,,Whitehouse,,,,D
Department of Education,800000,,S,,,,Whitehouse,,,,D
Department of Education,150000,,S,,,,Whitehouse,,,,D
Department of Education,375000,,S,,,,Whitehouse,,,,D
Department of Education,151000,,S,,,,Whitehouse,,,,D
Department of Education,750000,,S,,,,Whitehouse,,,,D
Department of Education,350000,,S,,,,Whitehouse,,,,D
Department of Housing and Urban Development,4300000,,H/S,Palazzo,,,Wicker,,,,R
DOC,2000000,,S,,,,Wicker,,,,R
DOC,2000000,,S,,,,Wicker,,,,R
Department of Housing and Urban Development,500000,,S,,,,Wicker,,,,R
Department of Housing and Urban Development,500000,,S,,,,Wicker,,,,R
Department of Housing and Urban Development,1000000,,S,,,,Wicker,,,,R
Department of Transportation,150000,,S,,,,Wicker,,,,R
Department of Transportation,300000,,S,,,,Wicker,,,,R
Department of Transportation,640000,,S,,,,Wicker,,,,R
Department of Transportation,2163000,,S,,,,Wicker,,,,R
Department of Transportation,5000000,,S,,,,Wicker,,,,R
Department of Health & Human Services,7565000,,S,,,,Wicker,,,,R
Department of Health & Human Services,216000,,S,,,,Wicker,,,,R
Department of Education,250000,,S,,,,Wicker,,,,R
Department of Education,250000,,S,,,,Wicker,,,,R
FEMA,2000000,,S,,,,Wyden,,,,D
Department of Housing and Urban Development,3000000,AL,H,Rogers,,,,,,,R
DOJ,340000,AL,H,Rogers,,,,,,,R
Army,25010000,AL,H,Rogers,,,,,,,R
FEMA,1500000,CA,H,Lee,,,,,,,D
Department of Transportation,4485000,CA,H,Harder,,,,,,,D
Department of Transportation,1717836,CA,H,Levin,,,,,,,D
Department of Transportation,3000000,CA,H,Garcia,,,,,,,D
Department of Housing and Urban Development,500000,CA,H,Harder,,,,,,,D
Department of Housing and Urban Development,3000000,CA,H,Harder,,,,,,,D
Department of Housing and Urban Development,500000,CA,H,Harder,,,,,,,D
Department of Housing and Urban Development,800000,CA,H,Torres,,,,,,,D
Department of Housing and Urban Development,2000000,CA,H,Torres,,,,,,,D
Department of Housing and Urban Development,3000000,CA,H,Torres,,,,,,,D
Department of Housing and Urban Development,2000000,CA,H,Lee,,,,,,,D
Department of Housing and Urban Development,2000000,CA,H,Kim,,,,,,,D
Department of Housing and Urban Development,1000000,CA,H,Lee,,,,,,,D
Department of Housing and Urban Development,500000,CA,H,Jacobs,,,,,,,D
Department of Housing and Urban Development,1000000,CA,H,Jacobs,,,,,,,D
Department of Housing and Urban Development,500000,CA,H,Jacobs,,,,,,,D
DOJ,255000,CA,H,Harder,,,,,,,D
DOJ,587000,CA,H,Levin,,,,,,,D
DOJ,3404000,CA,H,Torres,,,,,,,D
DOJ,1000000,CA,H,Garcia,,,,,,,D
DOJ,500000,CA,H,Lee,,,,,,,D
Department of the Interior,500000,CA,H,Harder,,,,,,,D
Army Corps of Engineers (Civil),9306000,CA,H,Levin,,,,,,,D
Environmental Protection Agency,320000,CA,H,Thompson,,,,,,,D
Department of Transportation,450000,CA,H,Thompson,,,,,,,D
Small Business Administration,1000000,CA,H,Jacobs,,,,,,,D
Small Business Administration,1000000,CA,H,Torres,,,,,,,D
Environmental Protection Agency,1840000,CA,H,Thompson,,,,,,,D
Department of Transportation,1870000,CA,H,Levin,,,,,,,D
Environmental Protection Agency,2000000,CA,H,Torres,,,,,,,D
Department of Transportation,3000000,CA,H,Kim,,,,,,,D
Department of Transportation,5000000,CA,H,Levin,,,,,,,D
Department of Health & Human Services,550000,CA,H,Garcia,,,,,,,D
Department of Health & Human Services,1200000,CA,H,Garcia,,,,,,,D
Department of Health & Human Services,1250000,CA,H,Lee,,,,,,,D
Department of Health & Human Services,2000000,CA,H,Kim,,,,,,,D
Department of Health & Human Services,610000,CA,H,Garcia,,,,,,,D
Department of Health & Human Services,350000,CA,H,Lee,,,,,,,D
Department of Health & Human Services,1000000,CA,H,Thompson,,,,,,,D
Department of Health & Human Services,775000,CA,H,Torres,,,,,,,D
Department of Health & Human Services,2000000,CA,H,Harder,,,,,,,D
Department of Health & Human Services,1000000,CA,H,Thompson,,,,,,,D
Department of Health & Human Services,380000,CA,H,Torres,,,,,,,D
Department of Health & Human Services,1810000,CA,H,Harder,,,,,,,D
Department of Education,125000,CA,H,Torres,,,,,,,D
Department of Education,500000,CA,H,Lee,,,,,,,D
Department of Education,150000,CA,H,Levin,,,,,,,D
Department of Education,1000000,CA,H,Garcia,,,,,,,D
Department of Health & Human Services,900000,CA,H,Thompson,DeSaulnier,,,,,,D
Department of Housing and Urban Development,900000,CT,H,Larson,,,,,,,D
Department of Housing and Urban Development,900000,CT,H,Larson,,,,,,,D
Department of Housing and Urban Development,700000,CT,H,Larson,,,,,,,D
Department of Housing and Urban Development,250000,CT,H,Larson,,,,,,,D
Department of Housing and Urban Development,600000,CT,H,Larson,,,,,,,D
Small Business Administration,900000,CT,H,Larson,,,,,,,D
Department of Health & Human Services,630000,CT,H,Larson,,,,,,,D
DOJ,1200000,FL,H,Murphy,Demings,,,,,,D
DOJ,382000,FL,H,Castor,,,,,,,D
FEMA,4669171,FL,H,Lawson,,,,,,,D
Department of Housing and Urban Development,687659,FL,H,Wilson,,,,,,,D
Department of Housing and Urban Development,2200000,FL,H,Wilson,,,,,,,D
Department of Housing and Urban Development,258300,FL,H,Murphy,,,,,,,D
Department of Housing and Urban Development,2000000,FL,H,Lawson,,,,,,,D
Department of Housing and Urban Development,2000000,FL,H,Lawson,,,,,,,D
Department of Housing and Urban Development,2125804,FL,H,Castor,,,,,,,D
Department of Housing and Urban Development,1000000,FL,H,Castor,,,,,,,D
Department of Housing and Urban Development,2000000,FL,H,Lawson,,,,,,,D
Department of Housing and Urban Development,1000000,FL,H,Lawson,,,,,,,D
Department of Housing and Urban Development,520000,FL,H,Castor,,,,,,,D
Department of Housing and Urban Development,2400000,FL,H,Wilson,,,,,,,D
Rural Development,1125000,FL,H,Lawson,,,,,,,D
DOJ,1702000,FL,H,Wasserman Schultz,Wilson,,,,,,D
DOJ,109000,FL,H,Wilson,,,,,,,D
Environmental Protection Agency,400000,FL,H,Wilson,,,,,,,D
Environmental Protection Agency,688000,FL,H,Murphy,,,,,,,D
Environmental Protection Agency,800000,FL,H,Castor,,,,,,,D
Environmental Protection Agency,900000,FL,H,Murphy,,,,,,,D
Environmental Protection Agency,1141038,FL,H,Wilson,,,,,,,D
Environmental Protection Agency,1600000,FL,H,Lawson,,,,,,,D
Department of Labor,250000,FL,H,Wilson,,,,,,,D
Department of Labor,300000,FL,H,Castor,,,,,,,D
Department of Health & Human Services,250000,FL,H,Murphy,,,,,,,D
Department of Health & Human Services,225000,FL,H,Wilson,,,,,,,D
Department of Health & Human Services,300000,FL,H,Murphy,,,,,,,D
Department of Health & Human Services,2000000,FL,H,Castor,,,,,,,D
Department of Health & Human Services,400000,FL,H,Wilson,,,,,,,D
Department of Health & Human Services,2000000,FL,H,Castor,,,,,,,D
Department of Health & Human Services,400000,FL,H,Murphy,,,,,,,D
Department of Health & Human Services,500000,FL,H,Lawson,,,,,,,D
Department of Education,500000,FL,H,Murphy,,,,,,,D
Department of Education,1000000,FL,H,Castor,,,,,,,D
Department of Education,475000,FL,H,Murphy,,,,,,,D
DOJ,225000,GA,H,Bishop,,,,,,,D
FEMA,2925000,GA,H,Carter,,,,,,,D
Department of Housing and Urban Development,2200000,GA,H,Bishop,,,,,,,D
Department of Housing and Urban Development,2000000,GA,H,Bishop,,,,,,,D
Department of Housing and Urban Development,1000000,GA,H,Bishop,,,,,,,D
Department of Housing and Urban Development,500000,GA,H,Bishop,,,,,,,D
Department of Housing and Urban Development,3000000,GA,H,Bishop,,,,,,,D
Department of Housing and Urban Development,209000,GA,H,Johnson,,,,,,,D
Department of Housing and Urban Development,1000000,GA,H,Johnson,,,,,,,D
Department of Housing and Urban Development,1160000,GA,H,Williams,,,,,,,D
Department of Housing and Urban Development,200000,GA,H,Williams,,,,,,,D
Department of Housing and Urban Development,2200000,GA,H,Williams,,,,,,,D
Department of Housing and Urban Development,750000,GA,H,Williams,,,,,,,D
Rural Development,746250,GA,H,Bishop,,,,,,,D
Small Business Administration,150000,GA,H,Williams,,,,,,,D
Department of Transportation,600000,GA,H,Johnson,,,,,,,D
Department of Transportation,800000,GA,H,Johnson,,,,,,,D
Department of Transportation,800000,GA,H,Johnson,,,,,,,D
Department of Transportation,900000,GA,H,Johnson,,,,,,,D
Environmental Protection Agency,1600000,GA,H,Williams,,,,,,,D
Department of Health & Human Services,1000000,GA,H,Bishop,,,,,,,D
Department of Health & Human Services,300000,GA,H,Johnson,,,,,,,D
Department of Education,325000,GA,H,Johnson,,,,,,,D
Department of Education,1500000,GA,H,Bishop,,,,,,,D
Department of Education,325000,GA,H,Williams,,,,,,,D
Department of Education,900000,GA,H,Williams,,,,,,,D
Army,1500000,GA,H,Carter,,,,,,,D
Department of Housing and Urban Development,1500000,IL,H,Kelly,,,,,,,D
Department of Housing and Urban Development,400000,IL,H,Kelly,,,,,,,D
Rural Development,3000000,IL,H,Kelly,,,,,,,D
DOJ,20000,IL,H,Kelly,,,,,,,D
Small Business Administration,200000,IL,H,Kelly,,,,,,,D
Department of Health & Human Services,90000,IL,H,Kelly,,,,,,,D
Department of Health & Human Services,625000,IL,H,Kelly,,,,,,,D
Department of Education,500000,IL,H,Kelly,,,,,,,D
Department of Education,175000,IL,H,Kelly,,,,,,,D
FEMA,4837500,KS,H,Davids,,,,,,,D
Department of Housing and Urban Development,1500000,KS,H,Davids,,,,,,,D
Department of Housing and Urban Development,400000,KS,H,Davids,,,,,,,D
Department of Housing and Urban Development,1500000,KS,H,Davids,,,,,,,D
Army Corps of Engineers (Civil),500000,KS,H,Davids,,,,,,,D
Army Corps of Engineers (Civil),4000000,KS,H,Davids,,,,,,,D
Defense-Wide,1981000,KS,H,Davids,,,,,,,D
DOJ,859000,KY,H,Rogers,,,,,,,R
Department of Housing and Urban Development,1290000,KY,H,Rogers,,,,,,,R
Department of Housing and Urban Development,2200000,KY,H,Rogers,,,,,,,R
Rural Development,300000,KY,H,Rogers,,,,,,,R
Army Corps of Engineers (Civil),450000,KY,H,Rogers,,,,,,,R
Army Corps of Engineers (Civil),1500000,KY,H,Rogers,,,,,,,R
Environmental Protection Agency,800000,KY,H,Rogers,,,,,,,R
Environmental Protection Agency,1392960,KY,H,Rogers,,,,,,,R
Department of Health & Human Services,675000,KY,H,Rogers,,,,,,,R
Department of Health & Human Services,500000,KY,H,Rogers,,,,,,,R
DOJ,686000,LA,H,Graves,,,,,,,R
FEMA,5250000,LA,H,Higgins,,,,,,,D
Department of Housing and Urban Development,3000000,LA,H,Graves,,,,,,,R
Agricultural Research Service,10000000,LA,H,Graves,,,,,,,R
DOJ,2300000,LA,H,Graves,,,,,,,R
Army Corps of Engineers (Civil),350000,LA,H,Graves,,,,,,,R
Army Corps of Engineers (Civil),1200000,LA,H,Higgins,,,,,,,D
Army Corps of Engineers (Civil),5000000,LA,H,Graves,,,,,,,R
Department of Transportation,5000000,LA,H,Higgins,,,,,,,D
